long,short,spec,is.save,is.series,requires
history.sarevisions,sar,history,TRUE,TRUE,"history.estimates = ""sadj"""
history.sasummary,sas,history,FALSE,FALSE,
history.seatsmdlhistory,smh,history,TRUE,TRUE,
history.sfestimates,sfe,history,TRUE,TRUE,"history.estimates = ""seasonal"""
history.sfilterhistory,sfh,history,TRUE,TRUE,"history.estimates = ""seasonal"""
history.sfrevisions,sfr,history,TRUE,TRUE,"history.estimates = ""seasonal"""
history.sfsummary,sfs,history,FALSE,FALSE,
history.tdhistory,tdh,history,TRUE,TRUE,
history.trendchngestimates,tce,history,TRUE,TRUE,"history.estimates = ""trendchng"""
history.trendchngrevisions,tcr,history,TRUE,TRUE,"history.estimates = ""trendchng"""
history.trendchngsummary,tcs,history,FALSE,FALSE,
history.trendestimates,tre,history,TRUE,TRUE,"history.estimates = ""trend"""
history.trendrevisions,trr,history,TRUE,TRUE,"history.estimates = ""trend"""
history.trendsummary,trs,history,FALSE,FALSE,
identify.acf,iac,identify,TRUE,TRUE,
identify.acfplot,acp,identify,FALSE,FALSE,
identify.pacf,ipc,identify,TRUE,TRUE,
identify.pacfplot,pcp,identify,FALSE,FALSE,
identify.regcoefficients,rgc,identify,FALSE,FALSE,
outlier.finaltests,fts,outlier,TRUE,TRUE,
outlier.header,hdr,outlier,FALSE,FALSE,
outlier.iterations,oit,outlier,TRUE,TRUE,
outlier.temporaryls,tls,outlier,FALSE,FALSE,
outlier.tests,ots,outlier,FALSE,FALSE,
pickmdl.header,hdr,pickmdl,FALSE,FALSE,
pickmdl.pickmdlchoice,pch,pickmdl,FALSE,FALSE,
pickmdl.usermodels,umd,pickmdl,FALSE,FALSE,
regression.aictest,ats,regression,FALSE,FALSE,
regression.aoutlier,ao,regression,TRUE,TRUE,
regression.chi2test,cts,regression,FALSE,FALSE,
regression.dailyweights,tdw,regression,FALSE,FALSE,
regression.holiday,hol,regression,TRUE,TRUE,
regression.levelshift,ls,regression,TRUE,TRUE,
regression.outlier,otl,regression,TRUE,TRUE,
regression.regressionmatrix,rmx,regression,TRUE,TRUE,
regression.regseasonal,a10,regression,TRUE,TRUE,
regression.seasonaloutlier,so,regression,TRUE,TRUE,
regression.temporarychange,tc,regression,TRUE,TRUE,
regression.tradingday,td,regression,TRUE,TRUE,
regression.transitory,a13,regression,TRUE,TRUE,
regression.userdef,usr,regression,TRUE,TRUE,
seats.adjustfac,s16,seats,TRUE,TRUE,
seats.adjustfacpct,psa,seats,TRUE,TRUE,
seats.adjustmentratio,s18,seats,TRUE,TRUE,
seats.componentmodels,mdc,seats,TRUE,TRUE,
seats.cycle,cyc,seats,TRUE,TRUE,
